key,value
799,45
800,51
801,50
802,50
803,50
804,53
805,47
806,51
807,47
808,51
809,8
810,95
811,38
812,47
813,30
814,50
815,49
816,50
817,71
818,43
819,39
820,50
821,51
822,55
823,37
824,28
825,50
826,43
827,48
828,31
829,50
830,51
831,58
832,50
833,51
834,51
835,50
836,63
837,31
838,34
839,51
840,48
841,51
842,55
843,51
844,60
845,53
846,85
847,54
848,52
849,47
850,50
851,57
852,53
853,51
854,55
855,51
856,61
857,50
858,46
859,49
860,69
861,57
862,55
863,54
864,53
865,55
866,56
867,52
868,46
869,49
870,51
871,63
872,51
873,50
874,51
875,47
876,28
877,53
878,17
879,41
880,51
881,51
882,50
883,45
884,46
885,23
886,53
887,51
888,49
889,42
890,51
891,55
892,51
893,32
894,46
895,49
896,60
897,48
898,33
899,47
900,51
901,62
902,61
903,54
904,44
905,46
906,65
907,20
908,49
909,50
910,27
911,36
912,60
913,48
914,51
915,53
916,51
917,53
918,48
919,53
920,47
921,40
922,54
923,60
924,51
925,121
926,51
927,56
928,23
929,49
930,50
931,48
932,51
933,51
934,53
935,59
936,51
937,48
938,51
939,48
940,51
941,53
942,47
943,45
944,46
945,51
946,56
947,34
948,51
949,51
950,39
951,59
952,49
953,48
954,50
955,51
956,51
957,49
958,50
959,52
960,56
961,51
962,49
963,50
964,57
965,44
966,77
967,64
968,35
969,68
970,29
971,46
972,45
973,53
974,58
975,58
976,74
977,58
978,43
979,79
980,50
981,57
982,36
983,49
984,50
985,52
986,50
987,36
988,51
989,51
990,49
991,50
992,63
993,51
994,50
995,51
996,52
997,51
998,61
999,34
